date,product_id,product_name,category,units_sold,current_stock,price,supplier,warehouse_location,lead_time_days,revenue
2021-04-10,P001,Wireless Earbuds,Electronics,5,2252,151,ElectroHub,Osaka,4,755
2021-04-11,P001,Wireless Earbuds,Electronics,4,2264,151,ElectroHub,Tokyo,6,604
2021-04-12,P001,Wireless Earbuds,Electronics,7,2264,151,TechSupply Ltd,Osaka,10,1057
2021-04-13,P001,Wireless Earbuds,Electronics,3,2270,151,TechSupply Ltd,Nagoya,2,453
2021-04-14,P001,Wireless Earbuds,Electronics,7,2276,151,TechSupply Ltd,Osaka,9,1057
2021-04-15,P001,Wireless Earbuds,Electronics,5,2273,151,GadgetPro,Osaka,2,755
2021-04-16,P001,Wireless Earbuds,Electronics,4,2282,151,GadgetPro,Nagoya,6,604
2021-04-17,P001,Wireless Earbuds,Electronics,3,2298,151,ElectroHub,Osaka,4,453
2021-04-18,P001,Wireless Earbuds,Electronics,6,2295,151,TechSupply Ltd,Nagoya,9,906
2021-04-19,P001,Wireless Earbuds,Electronics,3,2299,151,ElectroHub,Tokyo,9,453
2021-04-20,P001,Wireless Earbuds,Electronics,6,2293,151,ElectroHub,Osaka,9,906
2021-04-21,P001,Wireless Earbuds,Electronics,5,2298,151,ElectroHub,Tokyo,10,755
2021-04-22,P001,Wireless Earbuds,Electronics,7,2295,151,GadgetPro,Osaka,4,1057
2021-04-23,P001,Wireless Earbuds,Electronics,6,2304,151,GadgetPro,Nagoya,4,906
2021-04-24,P001,Wireless Earbuds,Electronics,4,2307,151,TechSupply Ltd,Tokyo,10,604
2021-04-25,P001,Wireless Earbuds,Electronics,5,2311,151,GadgetPro,Nagoya,4,755
2021-04-26,P001,Wireless Earbuds,Electronics,8,2313,151,ElectroHub,Osaka,9,1208
2021-04-27,P001,Wireless Earbuds,Electronics,3,2321,151,GadgetPro,Osaka,13,453
2021-04-28,P001,Wireless Earbuds,Electronics,3,2318,151,TechSupply Ltd,Tokyo,5,453
2021-04-29,P001,Wireless Earbuds,Electronics,11,2326,151,GadgetPro,Osaka,3,1661
2021-04-30,P001,Wireless Earbuds,Electronics,1,2340,151,TechSupply Ltd,Osaka,7,151
2021-05-01,P001,Wireless Earbuds,Electronics,10,2336,151,ElectroHub,Nagoya,5,1510
2021-05-02,P001,Wireless Earbuds,Electronics,4,2339,151,TechSupply Ltd,Osaka,2,604
2021-05-03,P001,Wireless Earbuds,Electronics,7,2347,151,GadgetPro,Osaka,13,1057
2021-05-04,P001,Wireless Earbuds,Electronics,1,2356,151,ElectroHub,Osaka,8,151
2021-05-05,P001,Wireless Earbuds,Electronics,3,2362,151,ElectroHub,Nagoya,13,453
2021-05-06,P001,Wireless Earbuds,Electronics,0,2369,151,TechSupply Ltd,Tokyo,10,0
2021-05-07,P001,Wireless Earbuds,Electronics,2,2373,151,ElectroHub,Nagoya,3,302
2021-05-08,P001,Wireless Earbuds,Electronics,9,2383,151,TechSupply Ltd,Nagoya,10,1359
2021-05-09,P001,Wireless Earbuds,Electronics,9,2375,151,GadgetPro,Tokyo,3,1359
2021-05-10,P001,Wireless Earbuds,Electronics,4,2379,151,ElectroHub,Nagoya,13,604
2021-05-11,P001,Wireless Earbuds,Electronics,3,2382,151,GadgetPro,Nagoya,13,453
2021-05-12,P001,Wireless Earbuds,Electronics,4,2384,151,TechSupply Ltd,Tokyo,6,604
2021-05-13,P001,Wireless Earbuds,Electronics,7,2391,151,ElectroHub,Nagoya,8,1057
2021-05-14,P001,Wireless Earbuds,Electronics,2,2407,151,TechSupply Ltd,Nagoya,11,302
2021-05-15,P001,Wireless Earbuds,Electronics,7,2410,151,GadgetPro,Osaka,12,1057
2021-05-16,P001,Wireless Earbuds,Electronics,4,2407,151,GadgetPro,Osaka,10,604
2021-05-17,P001,Wireless Earbuds,Electronics,7,2409,151,TechSupply Ltd,Osaka,5,1057
2021-05-18,P001,Wireless Earbuds,Electronics,8,2417,151,GadgetPro,Nagoya,6,1208
2021-05-19,P001,Wireless Earbuds,Electronics,8,2423,151,GadgetPro,Nagoya,3,1208
2021-05-20,P001,Wireless Earbuds,Electronics,3,2428,151,ElectroHub,Nagoya,13,453
2021-05-21,P001,Wireless Earbuds,Electronics,5,2425,151,GadgetPro,Tokyo,10,755
2021-05-22,P001,Wireless Earbuds,Electronics,4,2440,151,GadgetPro,Tokyo,8,604
2021-05-23,P001,Wireless Earbuds,Electronics,3,2448,151,GadgetPro,Nagoya,13,453
2021-05-24,P001,Wireless Earbuds,Electronics,2,2454,151,ElectroHub,Tokyo,11,302
2021-05-25,P001,Wireless Earbuds,Electronics,6,2458,151,ElectroHub,Nagoya,4,906
2021-05-26,P001,Wireless Earbuds,Electronics,2,2469,151,TechSupply Ltd,Nagoya,9,302
2021-05-27,P001,Wireless Earbuds,Electronics,6,2474,151,TechSupply Ltd,Nagoya,12,906
2021-05-28,P001,Wireless Earbuds,Electronics,8,2483,151,ElectroHub,Nagoya,9,1208
2021-05-29,P001,Wireless Earbuds,Electronics,1,2483,151,ElectroHub,Nagoya,9,151
2021-05-30,P001,Wireless Earbuds,Electronics,3,2484,151,GadgetPro,Nagoya,11,453
2021-05-31,P001,Wireless Earbuds,Electronics,7,2487,151,ElectroHub,Osaka,6,1057
2021-06-01,P001,Wireless Earbuds,Electronics,3,2487,151,TechSupply Ltd,Osaka,2,453
2021-06-02,P001,Wireless Earbuds,Electronics,8,2492,151,GadgetPro,Osaka,7,1208
2021-06-03,P001,Wireless Earbuds,Electronics,5,2498,151,GadgetPro,Nagoya,6,755
2021-06-04,P001,Wireless Earbuds,Electronics,4,2509,151,TechSupply Ltd,Osaka,11,604
2021-06-05,P001,Wireless Earbuds,Electronics,6,2506,151,ElectroHub,Nagoya,8,906
2021-06-06,P001,Wireless Earbuds,Electronics,1,2514,151,ElectroHub,Tokyo,9,151
2021-06-07,P001,Wireless Earbuds,Electronics,3,2516,151,GadgetPro,Nagoya,2,453
2021-06-08,P001,Wireless Earbuds,Electronics,4,2515,151,GadgetPro,Tokyo,10,604
2021-06-09,P001,Wireless Earbuds,Electronics,7,2520,151,TechSupply Ltd,Tokyo,12,1057
2021-06-10,P001,Wireless Earbuds,Electronics,3,2526,151,ElectroHub,Nagoya,3,453
2021-06-11,P001,Wireless Earbuds,Electronics,6,2534,151,TechSupply Ltd,Nagoya,4,906
2021-06-12,P001,Wireless Earbuds,Electronics,2,2550,151,TechSupply Ltd,Nagoya,9,302
2021-06-13,P001,Wireless Earbuds,Electronics,4,2547,151,TechSupply Ltd,Osaka,2,604
2021-06-14,P001,Wireless Earbuds,Electronics,7,2541,151,ElectroHub,Nagoya,6,1057
2021-06-15,P001,Wireless Earbuds,Electronics,8,2544,151,GadgetPro,Nagoya,8,1208
2021-06-16,P001,Wireless Earbuds,Electronics,4,2542,151,ElectroHub,Osaka,6,604
2021-06-17,P001,Wireless Earbuds,Electronics,5,2547,151,TechSupply Ltd,Tokyo,8,755
2021-06-18,P001,Wireless Earbuds,Electronics,4,2560,151,GadgetPro,Tokyo,2,604
2021-06-19,P001,Wireless Earbuds,Electronics,5,2571,151,GadgetPro,Nagoya,5,755
2021-06-20,P001,Wireless Earbuds,Electronics,1,2573,151,TechSupply Ltd,Tokyo,10,151
2021-06-21,P001,Wireless Earbuds,Electronics,3,2585,151,ElectroHub,Osaka,3,453
2021-06-22,P001,Wireless Earbuds,Electronics,8,2588,151,GadgetPro,Tokyo,7,1208
2021-06-23,P001,Wireless Earbuds,Electronics,2,2591,151,ElectroHub,Osaka,3,302
2021-06-24,P001,Wireless Earbuds,Electronics,2,2593,151,ElectroHub,Nagoya,4,302
2021-06-25,P001,Wireless Earbuds,Electronics,5,2607,151,ElectroHub,Nagoya,3,755
2021-06-26,P001,Wireless Earbuds,Electronics,2,2623,151,GadgetPro,Osaka,3,302
2021-06-27,P001,Wireless Earbuds,Electronics,6,2628,151,ElectroHub,Tokyo,2,906
2021-06-28,P001,Wireless Earbuds,Electronics,7,2624,151,GadgetPro,Osaka,13,1057
2021-06-29,P001,Wireless Earbuds,Electronics,6,2633,151,GadgetPro,Osaka,13,906
2021-06-30,P001,Wireless Earbuds,Electronics,4,2632,151,GadgetPro,Osaka,13,604
2021-07-01,P001,Wireless Earbuds,Electronics,3,2637,151,TechSupply Ltd,Tokyo,13,453
2021-07-02,P001,Wireless Earbuds,Electronics,1,2652,151,TechSupply Ltd,Tokyo,2,151
2021-07-03,P001,Wireless Earbuds,Electronics,5,2661,151,GadgetPro,Tokyo,11,755
2021-07-04,P001,Wireless Earbuds,Electronics,5,2659,151,GadgetPro,Tokyo,3,755
2021-07-05,P001,Wireless Earbuds,Electronics,4,2668,151,TechSupply Ltd,Nagoya,7,604
2021-07-06,P001,Wireless Earbuds,Electronics,4,2674,151,ElectroHub,Nagoya,8,604
2021-07-07,P001,Wireless Earbuds,Electronics,8,2684,151,TechSupply Ltd,Osaka,13,1208
2021-07-08,P001,Wireless Earbuds,Electronics,6,2685,151,TechSupply Ltd,Osaka,12,906
2021-07-09,P001,Wireless Earbuds,Electronics,7,2680,151,TechSupply Ltd,Tokyo,12,1057
2021-07-10,P001,Wireless Earbuds,Electronics,3,2678,151,GadgetPro,Nagoya,6,453
2021-07-11,P001,Wireless Earbuds,Electronics,2,2683,151,GadgetPro,Tokyo,8,302
2021-07-12,P001,Wireless Earbuds,Electronics,4,2681,151,ElectroHub,Nagoya,13,604
2021-07-13,P001,Wireless Earbuds,Electronics,4,2685,151,ElectroHub,Nagoya,11,604
2021-07-14,P001,Wireless Earbuds,Electronics,2,2683,151,GadgetPro,Tokyo,13,302
2021-07-15,P001,Wireless Earbuds,Electronics,3,2690,151,GadgetPro,Nagoya,5,453
2021-07-16,P001,Wireless Earbuds,Electronics,3,2701,151,TechSupply Ltd,Tokyo,9,453
2021-07-17,P001,Wireless Earbuds,Electronics,8,2693,151,ElectroHub,Nagoya,7,1208
2021-07-18,P001,Wireless Earbuds,Electronics,5,2697,151,TechSupply Ltd,Osaka,7,755
2021-07-19,P001,Wireless Earbuds,Electronics,3,2705,151,TechSupply Ltd,Osaka,9,453
2021-07-20,P001,Wireless Earbuds,Electronics,4,2709,151,GadgetPro,Osaka,13,604
2021-07-21,P001,Wireless Earbuds,Electronics,4,2706,151,ElectroHub,Osaka,8,604
2021-07-22,P001,Wireless Earbuds,Electronics,2,2715,151,GadgetPro,Osaka,3,302
2021-07-23,P001,Wireless Earbuds,Electronics,3,2716,151,GadgetPro,Tokyo,9,453
2021-07-24,P001,Wireless Earbuds,Electronics,5,2717,151,GadgetPro,Osaka,5,755
2021-07-25,P001,Wireless Earbuds,Electronics,1,2718,151,TechSupply Ltd,Nagoya,11,151
2021-07-26,P001,Wireless Earbuds,Electronics,6,2714,151,ElectroHub,Nagoya,2,906
2021-07-27,P001,Wireless Earbuds,Electronics,3,2716,151,TechSupply Ltd,Osaka,11,453
2021-07-28,P001,Wireless Earbuds,Electronics,3,2724,151,ElectroHub,Nagoya,5,453
2021-07-29,P001,Wireless Earbuds,Electronics,3,2730,151,TechSupply Ltd,Osaka,5,453
2021-07-30,P001,Wireless Earbuds,Electronics,4,2726,151,ElectroHub,Osaka,11,604
2021-07-31,P001,Wireless Earbuds,Electronics,9,2724,151,GadgetPro,Osaka,12,1359
2021-08-01,P001,Wireless Earbuds,Electronics,4,2729,151,ElectroHub,Tokyo,4,604
2021-08-02,P001,Wireless Earbuds,Electronics,4,2742,151,TechSupply Ltd,Tokyo,7,604
2021-08-03,P001,Wireless Earbuds,Electronics,1,2756,151,ElectroHub,Nagoya,7,151
2021-08-04,P001,Wireless Earbuds,Electronics,1,2765,151,GadgetPro,Osaka,6,151
2021-08-05,P001,Wireless Earbuds,Electronics,8,2768,151,TechSupply Ltd,Nagoya,7,1208
2021-08-06,P001,Wireless Earbuds,Electronics,6,2780,151,ElectroHub,Osaka,3,906
2021-08-07,P001,Wireless Earbuds,Electronics,2,2793,151,TechSupply Ltd,Tokyo,10,302
2021-08-08,P001,Wireless Earbuds,Electronics,4,2791,151,TechSupply Ltd,Tokyo,4,604
2021-08-09,P001,Wireless Earbuds,Electronics,6,2795,151,ElectroHub,Osaka,2,906
2021-08-10,P001,Wireless Earbuds,Electronics,8,2799,151,ElectroHub,Nagoya,7,1208
2021-08-11,P001,Wireless Earbuds,Electronics,6,2803,151,GadgetPro,Osaka,5,906
2021-08-12,P001,Wireless Earbuds,Electronics,4,2800,151,ElectroHub,Tokyo,2,604
2021-08-13,P001,Wireless Earbuds,Electronics,5,2803,151,GadgetPro,Nagoya,13,755
2021-08-14,P001,Wireless Earbuds,Electronics,6,2809,151,GadgetPro,Osaka,2,906
2021-08-15,P001,Wireless Earbuds,Electronics,4,2812,151,ElectroHub,Tokyo,11,604
2021-08-16,P001,Wireless Earbuds,Electronics,6,2808,151,ElectroHub,Osaka,12,906
2021-08-17,P001,Wireless Earbuds,Electronics,2,2810,151,GadgetPro,Nagoya,11,302
2021-08-18,P001,Wireless Earbuds,Electronics,4,2813,151,TechSupply Ltd,Osaka,6,604
2021-08-19,P001,Wireless Earbuds,Electronics,5,2815,151,TechSupply Ltd,Nagoya,9,755
2021-08-20,P001,Wireless Earbuds,Electronics,3,2814,151,TechSupply Ltd,Osaka,11,453
2021-08-21,P001,Wireless Earbuds,Electronics,2,2824,151,TechSupply Ltd,Tokyo,9,302
2021-08-22,P001,Wireless Earbuds,Electronics,9,2815,151,TechSupply Ltd,Nagoya,5,1359
2021-08-23,P001,Wireless Earbuds,Electronics,5,2824,151,TechSupply Ltd,Osaka,6,755
2021-08-24,P001,Wireless Earbuds,Electronics,4,2833,151,GadgetPro,Tokyo,5,604
2021-08-25,P001,Wireless Earbuds,Electronics,7,2843,151,TechSupply Ltd,Nagoya,5,1057
2021-08-26,P001,Wireless Earbuds,Electronics,5,2853,151,TechSupply Ltd,Tokyo,12,755
2021-08-27,P001,Wireless Earbuds,Electronics,2,2855,151,ElectroHub,Tokyo,11,302
2021-08-28,P001,Wireless Earbuds,Electronics,4,2870,151,ElectroHub,Osaka,6,604
2021-08-29,P001,Wireless Earbuds,Electronics,7,2878,151,ElectroHub,Nagoya,13,1057
2021-08-30,P001,Wireless Earbuds,Electronics,2,2877,151,GadgetPro,Osaka,7,302
2021-08-31,P001,Wireless Earbuds,Electronics,8,2877,151,GadgetPro,Nagoya,5,1208
2021-09-01,P001,Wireless Earbuds,Electronics,4,2882,151,GadgetPro,Nagoya,7,604
2021-09-02,P001,Wireless Earbuds,Electronics,6,2889,151,ElectroHub,Tokyo,2,906
2021-09-03,P001,Wireless Earbuds,Electronics,5,2897,151,TechSupply Ltd,Nagoya,4,755
2021-09-04,P001,Wireless Earbuds,Electronics,4,2895,151,TechSupply Ltd,Nagoya,11,604
2021-09-05,P001,Wireless Earbuds,Electronics,2,2901,151,ElectroHub,Tokyo,10,302
2021-09-06,P001,Wireless Earbuds,Electronics,3,2898,151,GadgetPro,Osaka,9,453
2021-09-07,P001,Wireless Earbuds,Electronics,5,2900,151,GadgetPro,Osaka,10,755
2021-09-08,P001,Wireless Earbuds,Electronics,4,2904,151,TechSupply Ltd,Tokyo,2,604
2021-09-09,P001,Wireless Earbuds,Electronics,4,2910,151,ElectroHub,Osaka,3,604
2021-09-10,P001,Wireless Earbuds,Electronics,7,2912,151,GadgetPro,Nagoya,3,1057
2021-09-11,P001,Wireless Earbuds,Electronics,5,2917,151,TechSupply Ltd,Nagoya,6,755
2021-09-12,P001,Wireless Earbuds,Electronics,4,2929,151,TechSupply Ltd,Tokyo,12,604
2021-09-13,P001,Wireless Earbuds,Electronics,2,2944,151,GadgetPro,Tokyo,11,302
2021-09-14,P001,Wireless Earbuds,Electronics,4,2942,151,ElectroHub,Osaka,11,604
2021-09-15,P001,Wireless Earbuds,Electronics,3,2947,151,TechSupply Ltd,Osaka,8,453
2021-09-16,P001,Wireless Earbuds,Electronics,7,2958,151,GadgetPro,Nagoya,7,1057
2021-09-17,P001,Wireless Earbuds,Electronics,4,2970,151,ElectroHub,Tokyo,9,604
2021-09-18,P001,Wireless Earbuds,Electronics,5,2980,151,ElectroHub,Osaka,2,755
2021-09-19,P001,Wireless Earbuds,Electronics,5,2989,151,ElectroHub,Tokyo,12,755
2021-09-20,P001,Wireless Earbuds,Electronics,8,3000,151,ElectroHub,Nagoya,11,1208
2021-09-21,P001,Wireless Earbuds,Electronics,6,2994,151,GadgetPro,Tokyo,12,906
2021-09-22,P001,Wireless Earbuds,Electronics,1,2996,151,GadgetPro,Nagoya,13,151
2021-09-23,P001,Wireless Earbuds,Electronics,5,2992,151,TechSupply Ltd,Tokyo,3,755
2021-09-24,P001,Wireless Earbuds,Electronics,2,3006,151,TechSupply Ltd,Osaka,3,302
2021-09-25,P001,Wireless Earbuds,Electronics,4,3021,151,TechSupply Ltd,Tokyo,2,604
2021-09-26,P001,Wireless Earbuds,Electronics,4,3033,151,ElectroHub,Tokyo,13,604
2021-09-27,P001,Wireless Earbuds,Electronics,6,3028,151,TechSupply Ltd,Osaka,8,906
2021-09-28,P001,Wireless Earbuds,Electronics,5,3027,151,TechSupply Ltd,Osaka,6,755
2021-09-29,P001,Wireless Earbuds,Electronics,5,3027,151,TechSupply Ltd,Tokyo,12,755
2021-09-30,P001,Wireless Earbuds,Electronics,7,3039,151,TechSupply Ltd,Osaka,12,1057
2021-10-01,P001,Wireless Earbuds,Electronics,4,3036,151,GadgetPro,Nagoya,3,604
2021-10-02,P001,Wireless Earbuds,Electronics,2,3042,151,GadgetPro,Nagoya,11,302
2021-10-03,P001,Wireless Earbuds,Electronics,9,3039,151,ElectroHub,Nagoya,7,1359
2021-10-04,P001,Wireless Earbuds,Electronics,4,3042,151,GadgetPro,Osaka,10,604
2021-10-05,P001,Wireless Earbuds,Electronics,3,3044,151,TechSupply Ltd,Nagoya,13,453
